Time;Latitude;Longitude;Course;kts;mph;metres;Rate;Reporting Facility
Sat 08:34:53 PM;41.8358;28.6426;↑ 354°;;;;Level;Estimated
Sat 08:36:55 PM;42.0746;28.6066;↑ 354°;;;;Level;Estimated
Sat 08:38:53 PM;42.3056;28.5716;↑ 354°;;;;Level;Estimated
Sat 08:40:55 PM;42.5135;28.5399;↑ 354°;;;;Level;Estimated
Sat 08:42:57 PM;42.7214;28.5079;↑ 354°;;;;Level;Estimated
Sat 08:44:55 PM;42.9225;28.4768;↑ 354°;;;;Level;Estimated
Sat 08:46:53 PM;43.1236;28.4455;↑ 354°;;;;Level;Estimated
Sat 08:48:57 PM;43.3349;28.4124;↑ 353°;;;;Level;Estimated
Sat 08:50:52 PM;43.5309;28.3815;↑ 353°;;;;Level;Estimated
Sat 08:51:57 PM;43.6416;28.3639;↑ 353°;;;;Level;Estimated
Sat 08:52:14 PM;41.4195;28.8214;↑ 354°;274;315;1897;Level;FlightAware MLAT (5 sites)
Sat 08:52:46 PM;41.4611;28.8160;↑ 355°;284;327;2240;959 Climbing;FlightAware MLAT (6 sites)
Sat 08:53:05 PM;41.4867;28.8128;↑ 355°;292;336;2713;1076 Climbing;FlightAware ADS-B (SAW / LTFJ)
Sat 08:53:37 PM;41.5307;28.8072;↑ 354°;306;352;3155;575 Climbing;FlightAware ADS-B (BOJ / LBBG)
Sat 08:54:07 PM;41.5760;28.8010;↑ 351°;348;400;3307;511 Climbing;FlightAware ADS-B (ISL / LTBA)
Sat 08:54:28 PM;41.6087;28.7805;↖ 322°;352;405;3589;844 Climbing;FlightAware ADS-B (LBWB)
Sat 08:54:46 PM;41.6263;28.7529;← 303°;349;402;3856;841 Climbing;FlightAware ADS-B (AXD / LGAL)
Sat 08:55:24 PM;41.6512;28.6779;← 298°;360;414;4374;829 Climbing;FlightAware ADS-B (LTBW)
Sat 08:55:56 PM;41.6805;28.6177;← 304°;368;423;4823;826 Climbing;FlightAware ADS-B (LTBW)
Sat 08:56:26 PM;41.7105;28.5570;← 303°;375;432;5227;802 Climbing;FlightAware ADS-B (AXD / LGAL)
Sat 08:56:57 PM;41.7395;28.4978;← 303°;378;435;5639;779 Climbing;FlightAware ADS-B (AXD / LGAL)
Sat 08:57:27 PM;41.7685;28.4386;← 303°;382;440;6020;724 Climbing;FlightAware ADS-B (AXD / LGAL)
Sat 08:57:57 PM;41.7978;28.3788;← 303°;388;447;6363;648 Climbing;FlightAware ADS-B (AXD / LGAL)
Sat 08:58:27 PM;41.8261;28.3212;← 303°;394;453;6668;642 Climbing;FlightAware ADS-B (LBSL)
Sat 08:58:59 PM;41.8588;28.2544;← 303°;397;457;7026;676 Climbing;FlightAware ADS-B (PDV / LBPD)
Sat 08:59:15 PM;41.8750;28.2229;← 308°;401;461;7209;699 Climbing;FlightAware ADS-B (LTBW)
Sat 08:59:35 PM;41.9019;28.1860;↖ 319°;409;471;7445;637 Climbing;FlightAware ADS-B (VAR / LBWN)
Sat 09:00:11 PM;41.9582;28.1309;↖ 324°;416;479;7803;540 Climbing;FlightAware ADS-B (LRTZ)
Sat 09:00:41 PM;42.0027;28.0877;↖ 324°;421;484;8039;450 Climbing;FlightAware ADS-B (JAM / LBIA)
Sat 09:01:11 PM;42.0532;28.0395;↖ 325°;430;495;8252;389 Climbing;FlightAware ADS-B (JAM / LBIA)
Sat 09:01:41 PM;42.1031;27.9934;↖ 326°;439;505;8428;366 Climbing;FlightAware ADS-B (JAM / LBIA)
Sat 09:02:11 PM;42.1530;27.9473;↖ 325°;446;513;8618;389 Climbing;FlightAware ADS-B (BBU / LRBS)
Sat 09:02:41 PM;42.2037;27.9002;↖ 325°;448;516;8816;397 Climbing;FlightAware ADS-B (OTP / LROP)
Sat 09:03:12 PM;42.2565;27.8507;↖ 325°;451;519;9022;472 Climbing;FlightAware ADS-B (OTP / LROP)
Sat 09:03:43 PM;42.3087;27.8016;↖ 325°;447;514;9304;562 Climbing;FlightAware ADS-B (LBSL)
Sat 09:04:13 PM;42.3621;27.7512;↖ 325°;441;507;9594;517 Climbing;FlightAware ADS-B (LRTZ)
Sat 09:04:44 PM;42.4130;27.7030;↖ 325°;439;505;9830;420 Climbing;FlightAware ADS-B (TEQ / LTBU)
Sat 09:05:14 PM;42.4623;27.6560;↖ 325°;439;505;10020;367 Climbing;FlightAware ADS-B (TEQ / LTBU)
Sat 09:05:45 PM;42.5129;27.6081;↖ 325°;439;505;10203;376 Climbing;FlightAware ADS-B (VAR / LBWN)
Sat 09:06:10 PM;42.5564;27.5674;↖ 326°;441;507;10371;381 Climbing;FlightAware ADS-B (LRTZ)
Sat 09:06:33 PM;42.5958;27.5377;↖ 334°;450;518;10508;358 Climbing;FlightAware ADS-B (LBBR)
Sat 09:07:01 PM;42.6514;27.5084;↑ 342°;461;531;10676;334 Climbing;FlightAware ADS-B (TEQ / LTBU)
Sat 09:07:47 PM;42.7509;27.4794;↑ 349°;471;542;10919;226 Climbing;FlightAware ADS-B (VAR / LBWN)
Sat 09:08:22 PM;42.8219;27.4605;↑ 349°;473;544;10980;48 Climbing;FlightAware ADS-B (BOJ / LBBG)
Sat 09:08:53 PM;42.8883;27.4427;↑ 349°;474;545;10973;-7 Descending;FlightAware ADS-B (BOJ / LBBG)
Sat 09:09:26 PM;42.9592;27.4239;↑ 349°;473;544;10973;Level;FlightAware ADS-B (VAR / LBWN)
Sat 09:09:56 PM;43.0252;27.4063;↑ 349°;470;541;10973;Level;FlightAware ADS-B (OTP / LROP)
Sat 09:10:27 PM;43.0896;27.3890;↑ 349°;469;540;10973;Level;FlightAware ADS-B (OTP / LROP)
Sat 09:10:57 PM;43.1535;27.3715;↑ 349°;468;539;10973;Level;FlightAware ADS-B (OTP / LROP)
Sat 09:11:27 PM;43.2173;27.3542;↑ 349°;468;539;10973;Level;FlightAware ADS-B (OTP / LROP)
Sat 09:11:57 PM;43.2799;27.3372;↑ 349°;468;539;10973;Level;FlightAware ADS-B (OTP / LROP)
